modelo,f1_cv,acuracia,precisao,recall,f1,tempo_busca_s
Random Forest,0.739941397104751,0.8268129770992366,0.7617752107805356,0.795,0.7779713634005794,5.510878281125201
Árvore de Decisão,0.7324375399454419,0.8263358778625954,0.7699156348632825,0.78375,0.7751473510305822,2.6930374009999696
