otimizador,f1_cv,acuracia,precisao,recall,f1,tempo_busca_s
Optuna TPE,0.7366924094318138,0.8249045801526718,0.7642843972564344,0.78625,0.7742388601749478,4.096016895625212
Random Search,0.7356865276183792,0.8282442748091603,0.7674064483873836,0.7925,0.7788798542562138,4.107898786499959
