imputacao,f1_cv,acuracia,precisao,recall,f1,tempo_busca_s
KNN,0.7357911318402481,0.8277671755725191,0.76863502030179,0.7887500000000001,0.7776597516452759,1.531059380376064
MissForest,0.7365878052099447,0.825381679389313,0.763055825342028,0.79,0.7754589627858856,6.088698958124951
