balanceamento,f1_cv,acuracia,precisao,recall,f1,tempo_busca_s
RandomUnderSampling,0.7308156387776215,0.8282442748091603,0.7795029889578995,0.77,0.7739589392411768,3.9902640363751516
SMOTE,0.7415632982725715,0.8249045801526718,0.7521878566859185,0.80875,0.7791597751899847,4.213651645750019
